shipment_issue,carrier,shipping_method,distance,package_type,location,customer_tier,weather_conditions,holiday_period,pop_density
0,Carrier_A,Standard,1779.739324065617,Large,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,424.348277603792,Medium,Suburban,Premium,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1717.4769277111698,Large,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_B,Expedited,1660.1600988692232,Large,Rural,Premium,Snow,Holiday_Period_No,Low
0,Carrier_C,Standard,966.9508732991122,Large,Urban,Basic,Clear,Holiday_Period_Yes,High
1,Carrier_A,Standard,1462.8761377576072,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,624.9569760518094,Medium,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_A,Standard,1718.2153656042394,Medium,Suburban,Premium,Clear,Holiday_Period_Yes,Medium
0,Carrier_C,Expedited,1896.010834755676,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,94.62801750477185,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_C,Standard,1230.4339077272182,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,670.5784385825259,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1270.9410834763253,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,653.5611769429698,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1622.4718475307104,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1372.7151487867277,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,144.2156458727486,Medium,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,1570.6688228726985,Large,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_A,Standard,1524.8162393967605,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,1929.8443238141974,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1606.4611121472167,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,1814.1598588850545,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
1,Carrier_C,Standard,1796.660788763711,Large,Suburban,Basic,Clear,Holiday_Period_Yes,Medium
0,Carrier_B,Expedited,1831.1410521426217,Medium,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_A,Standard,1663.5961992283862,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,607.0394295452036,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,650.1006803057194,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,90.68578461222141,Medium,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,253.40383332665297,Large,Rural,Basic,Clear,Holiday_Period_No,Low
1,Carrier_B,Expedited,1475.0681462195125,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1649.3947895628185,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_B,Standard,527.2289835502463,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1848.7520014494091,Large,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,217.76288343772535,Medium,Urban,Basic,Clear,Holiday_Period_No,High
1,Carrier_A,Standard,1337.3596498099525,Medium,Rural,Premium,Clear,Holiday_Period_Yes,Low
0,Carrier_B,Standard,599.3218778024466,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,227.34996589118708,Medium,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_B,Expedited,1580.7914786778827,Large,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_B,Standard,831.7397737372588,Large,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_C,Expedited,906.3275190803502,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,799.7733915791072,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,118.75963500723486,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
1,Carrier_A,Standard,512.6137608173142,Medium,Urban,Premium,Snow,Holiday_Period_Yes,High
0,Carrier_A,Standard,206.50597020339038,Medium,Urban,Basic,Clear,Holiday_Period_No,High
1,Carrier_A,Expedited,165.43976906117345,Medium,Rural,Premium,Clear,Holiday_Period_Yes,Low
0,Carrier_C,Standard,187.68933470047742,Large,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,722.5993543110093,Medium,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_C,Expedited,1938.642860117265,Large,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_B,Expedited,1081.7229588062773,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,1503.8771965652456,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,1591.4923089967724,Medium,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_A,Standard,1318.898880240399,Large,Rural,Basic,Rain,Holiday_Period_No,Low
0,Carrier_A,Expedited,143.50403976464702,Large,Rural,Basic,Snow,Holiday_Period_No,Low
0,Carrier_A,Standard,1589.1491285773168,Medium,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,1629.8081692211042,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1515.671050193734,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,837.0695448357249,Large,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_A,Standard,1007.4127734517054,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1090.5784659139738,Large,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_B,Standard,957.2758953893737,Large,Suburban,Premium,Clear,Holiday_Period_No,Medium
0,Carrier_B,Standard,1172.438463020342,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,189.95645533565857,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_B,Expedited,960.3247288063129,Large,Urban,Basic,Snow,Holiday_Period_No,High
1,Carrier_A,Standard,1124.4082808979458,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,1487.4323244188404,Large,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_A,Standard,411.6768604019837,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1832.3889843956129,Large,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,453.44154892170525,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1543.123833866143,Large,Rural,Basic,Snow,Holiday_Period_No,Low
0,Carrier_A,Standard,1190.5476892495033,Large,Rural,Basic,Clear,Holiday_Period_No,Low
1,Carrier_A,Standard,1259.3070316186772,Large,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_A,Standard,1965.7734464574798,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,1756.666715206882,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1412.4978306955547,Medium,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_C,Standard,127.34438358885718,Medium,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_C,Standard,1531.325689013302,Large,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_B,Standard,22.94707508122534,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,914.853133610943,Medium,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,191.32357498873256,Large,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_A,Expedited,822.3781240754737,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1866.1388117107892,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1666.367598796924,Medium,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,617.3115318312578,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,403.98734300462036,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,632.8042756739599,Medium,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1013.720102028875,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,979.9731599661517,Large,Rural,Basic,Clear,Holiday_Period_No,Low
1,Carrier_A,Standard,519.2490452310144,Large,Rural,Premium,Snow,Holiday_Period_Yes,Low
0,Carrier_B,Expedited,714.9283329598242,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,1038.482187847799,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1105.4045613283417,Large,Suburban,Basic,Clear,Holiday_Period_Yes,Medium
0,Carrier_A,Standard,311.73679341491516,Large,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,944.1493860904019,Large,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_C,Standard,1144.600712883351,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,66.41964574509208,Medium,Rural,Premium,Snow,Holiday_Period_No,Low
0,Carrier_A,Standard,559.3356787448854,Medium,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1552.0836108864753,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1508.1467993274284,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,373.20900879340616,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_C,Standard,1561.7221719692689,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1707.0799267201796,Large,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1051.663017293316,Large,Rural,Basic,Clear,Holiday_Period_No,Low
1,Carrier_A,Standard,1632.1928843364178,Medium,Suburban,Basic,Rain,Holiday_Period_No,Medium
1,Carrier_A,Expedited,1866.1063603770822,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,1141.0948403032248,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,518.8133824452104,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,528.9139517383427,Large,Rural,Basic,Clear,Holiday_Period_No,Low
1,Carrier_A,Standard,1949.6203301427713,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,157.5288779607522,Medium,Suburban,Premium,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,929.6953139863235,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,129.45163937697507,Medium,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_A,Standard,541.2542608014289,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,763.944691496854,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,51.2352219672269,Large,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_B,Standard,706.5715813074938,Large,Rural,Premium,Snow,Holiday_Period_No,Low
0,Carrier_A,Standard,1911.180888655036,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1351.079131795739,Large,Rural,Basic,Rain,Holiday_Period_No,Low
0,Carrier_A,Standard,1787.082067045387,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,311.27299372705016,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,1246.2516610468217,Medium,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_C,Standard,276.51876458508383,Large,Rural,Basic,Rain,Holiday_Period_No,Low
0,Carrier_B,Standard,310.2181371182597,Medium,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,210.8446803066843,Medium,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1652.3418479285583,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1220.6054468026348,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1628.561495547752,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,94.44583068345618,Large,Rural,Basic,Snow,Holiday_Period_No,Low
1,Carrier_A,Standard,306.5894447708667,Medium,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_A,Standard,770.2182356868474,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,755.2072468979696,Medium,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1388.8572768547801,Medium,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_A,Standard,1947.306642322265,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_B,Standard,1893.8252377503084,Large,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_B,Standard,1930.9816507310074,Medium,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_C,Standard,1805.8555923134984,Medium,Rural,Basic,Clear,Holiday_Period_Yes,Low
0,Carrier_A,Standard,636.8033225787664,Medium,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_C,Expedited,1347.3297940185982,Large,Rural,Basic,Clear,Holiday_Period_Yes,Low
0,Carrier_A,Expedited,1846.4676576049326,Large,Urban,Basic,Snow,Holiday_Period_Yes,High
0,Carrier_B,Standard,1171.187576140657,Medium,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_A,Standard,656.6640874204272,Medium,Suburban,Premium,Snow,Holiday_Period_No,Medium
0,Carrier_B,Standard,171.4181957897355,Medium,Suburban,Basic,Clear,Holiday_Period_Yes,Medium
0,Carrier_A,Standard,898.4209450859018,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,583.8216114168782,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,766.5697875114901,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,611.5880173971289,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1812.631515033006,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,1357.5518420364697,Medium,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_A,Standard,1739.813605293901,Large,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,280.4768736205093,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_B,Standard,723.0632916426655,Large,Urban,Basic,Rain,Holiday_Period_Yes,High
0,Carrier_A,Standard,347.0939054961593,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1462.311830431825,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,731.8788726103996,Medium,Urban,Basic,Clear,Holiday_Period_Yes,High
0,Carrier_C,Standard,1869.3894623438823,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Expedited,1475.4250960990885,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1043.326258563419,Medium,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1225.579378958305,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1677.4498497473353,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,846.7064302098445,Medium,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1583.0587395400944,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,107.32519726684603,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,730.5365550910592,Large,Rural,Basic,Snow,Holiday_Period_No,Low
0,Carrier_B,Standard,1928.2366984777193,Large,Urban,Basic,Rain,Holiday_Period_Yes,High
1,Carrier_A,Standard,1671.6121988284767,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,1640.9963320695538,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
1,Carrier_A,Standard,1687.7078527228755,Large,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1634.6666143217333,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1785.0247513058698,Large,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_B,Standard,1420.7784659417455,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1338.6092182148718,Large,Suburban,Premium,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,507.54783840744835,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,53.73361881821687,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_C,Standard,414.6479008962983,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_C,Standard,489.7949479242033,Medium,Suburban,Premium,Clear,Holiday_Period_No,Medium
1,Carrier_C,Standard,1478.1939198124664,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_C,Expedited,941.647711224165,Large,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_A,Standard,371.92017051911597,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Expedited,1017.0658663786879,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,730.9556625076322,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1198.6272813094893,Large,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_A,Standard,1907.584164648614,Large,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_C,Standard,1880.276189702387,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,1969.6418790351756,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,42.98916865432054,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1776.2679715256415,Medium,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_C,Standard,1331.2490369643083,Medium,Rural,Basic,Rain,Holiday_Period_No,Low
0,Carrier_A,Standard,1614.584906242173,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_C,Standard,1294.987207149466,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,1818.217875578964,Large,Urban,Basic,Clear,Holiday_Period_No,High
1,Carrier_A,Standard,461.87590019380616,Medium,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_B,Standard,1308.0166413599495,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,209.29678524181745,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_C,Expedited,1813.9030216874596,Large,Rural,Basic,Rain,Holiday_Period_No,Low
0,Carrier_B,Standard,1927.9091759680098,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,474.61758573353893,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Expedited,199.97992858015368,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1290.017960393337,Medium,Urban,Basic,Clear,Holiday_Period_No,High
1,Carrier_A,Standard,1826.4197981683028,Large,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_A,Standard,1378.5412853962512,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1586.9953851665348,Medium,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_C,Standard,1546.4462494641725,Large,Rural,Premium,Snow,Holiday_Period_No,Low
0,Carrier_A,Standard,1380.3914809606526,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,1469.9855821922508,Medium,Urban,Premium,Snow,Holiday_Period_No,High
0,Carrier_C,Expedited,1108.946416655846,Large,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_A,Expedited,196.1113596907246,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_B,Expedited,1102.2892363565172,Medium,Suburban,Premium,Rain,Holiday_Period_No,Medium
0,Carrier_B,Expedited,1029.1718952848223,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_C,Standard,1544.16470459451,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Standard,659.4047956823878,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
1,Carrier_A,Standard,1193.2307411694896,Medium,Urban,Premium,Snow,Holiday_Period_No,High
0,Carrier_A,Standard,1295.0412270179575,Medium,Urban,Premium,Snow,Holiday_Period_No,High
0,Carrier_B,Standard,18.623299800736646,Large,Rural,Basic,Rain,Holiday_Period_No,Low
0,Carrier_B,Expedited,1664.2145634874032,Large,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_B,Standard,1088.0147921266002,Medium,Rural,Premium,Rain,Holiday_Period_No,Low
0,Carrier_A,Standard,89.93226419266122,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_C,Standard,1009.7798090107844,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,96.24617734243347,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1473.7414891907576,Medium,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_C,Standard,1700.5711462634802,Large,Urban,Basic,Snow,Holiday_Period_No,High
0,Carrier_A,Standard,1901.589244707153,Large,Rural,Basic,Clear,Holiday_Period_No,Low
1,Carrier_C,Standard,1239.438841014005,Large,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_B,Standard,1934.6766864464696,Medium,Urban,Basic,Rain,Holiday_Period_Yes,High
0,Carrier_B,Expedited,1509.755501392359,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1205.1492807027798,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_C,Standard,850.4199112306444,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,564.8388550762129,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,529.3280074832566,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_C,Standard,941.7964938154508,Medium,Suburban,Basic,Rain,Holiday_Period_No,Medium
0,Carrier_C,Standard,1275.4388419820048,Large,Suburban,Premium,Rain,Holiday_Period_No,Medium
0,Carrier_A,Standard,955.6346339808123,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,588.64294172144,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1860.779587916598,Medium,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_C,Expedited,109.44373960123002,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,522.431317661686,Large,Urban,Premium,Clear,Holiday_Period_Yes,High
0,Carrier_A,Standard,281.3822321513523,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1828.0502322751406,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_B,Expedited,1996.0925513783573,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1699.257710298939,Medium,Suburban,Basic,Snow,Holiday_Period_No,Medium
0,Carrier_C,Standard,1532.4741714458835,Medium,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,1905.5046623292549,Large,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Standard,1647.7020219530714,Medium,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,1166.6382751211913,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Expedited,693.6574354387848,Medium,Urban,Premium,Clear,Holiday_Period_No,High
0,Carrier_A,Standard,467.72442149213646,Medium,Urban,Premium,Rain,Holiday_Period_No,High
0,Carrier_A,Expedited,1568.742741657939,Large,Rural,Premium,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1742.49199554272,Medium,Urban,Premium,Rain,Holiday_Period_No,High
0,Carrier_A,Standard,1573.8627811794604,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Expedited,1128.0207115679839,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_C,Expedited,156.51874289863986,Medium,Urban,Basic,Rain,Holiday_Period_No,High
0,Carrier_B,Standard,161.4270063691626,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_B,Expedited,1168.1269825023983,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1308.0444668873479,Large,Suburban,Basic,Clear,Holiday_Period_No,Medium
0,Carrier_A,Standard,1160.0251344917206,Medium,Rural,Basic,Clear,Holiday_Period_No,Low
0,Carrier_A,Standard,1392.9433984259642,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,1457.053483346025,Large,Urban,Basic,Clear,Holiday_Period_No,High
0,Carrier_A,Expedited,603.34447381188,Medium,Urban,Basic,Clear,Holiday_Period_No,High
